iri,name
http://purl.org/urbanonto/object_type_c11cb20d-1a61-4312-a780-c45fa09951a0,rezydencja ambasadora
http://purl.org/urbanonto/object_type_59e9a63d-a1e6-43ef-bfcf-ed895159b97a,rezydencja biskupia
http://purl.org/urbanonto/object_type_94baa37c-07ed-4159-8e62-0bd69515a313,rezydencja prezydencka
http://purl.org/urbanonto/object_type_5f621828-99bb-4747-99d6-6242dcb669fb,rogatka
http://purl.org/urbanonto/object_type_00dde5ae-0004-499f-bccd-251870d4006c,rozmierzenie lokacyjne
http://purl.org/urbanonto/object_type_e73317ef-21fc-441c-919a-925844d2950d,rozszerzenie miasta
http://purl.org/urbanonto/object_type_8d82a136-413f-453c-a096-2b6a2ffaa32b,ruina zabytkowa
http://purl.org/urbanonto/object_type_16c35144-0a87-4e5f-9235-741e90a76bc5,rynek
http://purl.org/urbanonto/object_type_5ec5f208-d56f-421c-9e83-93776dd0119e,rzeka
http://purl.org/urbanonto/object_type_c14f0fef-4ea1-4713-865e-9b1d99c5a6de,sala gimnastyczna
http://purl.org/urbanonto/object_type_30fc0b77-30ec-4697-9e8d-1f2cf40eef50,schody
http://purl.org/urbanonto/object_type_a6144c18-5df4-4be9-9b8e-4e2f55159265,sieć kolejowa
http://purl.org/urbanonto/object_type_0f4926a1-a1ee-44b9-a09b-03c0bc396802,silos
http://purl.org/urbanonto/object_type_8ca9ab1b-c79c-4bb9-b500-4da2bf350312,skarb
http://purl.org/urbanonto/object_type_1315a9b9-2fe9-4668-8b4c-311dbbb54c97,stacja meteorologiczna
http://purl.org/urbanonto/object_type_7d38c51a-72e0-43b0-a380-222a72f32d49,stacja metra
http://purl.org/urbanonto/object_type_bf299d66-61ed-4b3b-9340-811737a1dbf6,stacja paliw
http://purl.org/urbanonto/object_type_e676bd90-924a-4cc4-ae60-f1e14458b793,stacja pomp
http://purl.org/urbanonto/object_type_3fbc4842-0936-4ea2-b89d-299a7cda71ad,stadion
http://purl.org/urbanonto/object_type_4b313ab4-5059-46a7-b62e-000c7f813666,stajnia
http://purl.org/urbanonto/object_type_397b780a-e5fe-464b-8f45-610a265c75ab,staw
http://purl.org/urbanonto/object_type_f78faf6d-0612-490b-b0d9-8cbe13f7dbb7,straż pożarna
http://purl.org/urbanonto/object_type_256ce112-40b9-4dfd-a357-0648e04bf76d,"strumień, potok lub struga"
http://purl.org/urbanonto/object_type_7aba2cf5-9d79-4e1d-ac7d-46a8aa3ad7fd,strzelnica
http://purl.org/urbanonto/object_type_cb053831-abf1-4007-b84c-a3bb6d807392,synagoga
http://purl.org/urbanonto/object_type_cf52d40b-be95-4124-8e06-296e97cf499e,szkoła
http://purl.org/urbanonto/object_type_38b9b000-aee9-4d98-aee8-315a89689a87,szkoła XIX wieku
http://purl.org/urbanonto/object_type_a2e81396-a1cd-47dc-97d0-6634e02ba079,szkoła wyższa budynek
http://purl.org/urbanonto/object_type_d0008f3a-5765-4541-a619-636f66883974,szkoła wyższa kompleks
http://purl.org/urbanonto/object_type_b1e40e54-a8ec-446d-9385-7b3f30e7d569,szkoła średniowieczna i nowożytna
http://purl.org/urbanonto/object_type_8a287e70-01a2-454d-8e28-85f356330169,szkoła-kompleks
http://purl.org/urbanonto/object_type_4768086f-2542-429f-8c3a-e3644a5ce11a,szpital
http://purl.org/urbanonto/object_type_f47316c0-1c09-488a-9b19-0063d480ff87,szpital przednowoczesny
http://purl.org/urbanonto/object_type_ed4a36df-dc84-4dab-bebe-8542138bffc8,szubienica
http://purl.org/urbanonto/object_type_9a254e82-8067-4730-8dfd-cdecab5e86a3,szuwary
http://purl.org/urbanonto/object_type_0944c025-a8e5-48c0-8311-e7955821f889,sąd
http://purl.org/urbanonto/object_type_38da8ae6-c644-4b33-a311-29e7da8b6805,słodownia
http://purl.org/urbanonto/object_type_f02e5f79-8a07-482f-b284-7873fd5f1b1a,teatr
http://purl.org/urbanonto/object_type_e0f1a553-9560-48d7-9998-89bff76410e5,teren składowania odpadów komunalnych
http://purl.org/urbanonto/object_type_02332631-d6e9-43f2-87d9-eb411e79317f,teren składowania odpadów przemysłowych
http://purl.org/urbanonto/object_type_a8dc449a-b349-4738-9c02-d6676469550b,teren zabudowany
http://purl.org/urbanonto/object_type_9fec63be-9676-4208-94cb-b99f0010b365,tunel
http://purl.org/urbanonto/object_type_bcb1ecf1-8ebe-49ec-8a98-1b7e34a10e11,ulica
http://purl.org/urbanonto/object_type_fd67ba75-80e0-40ef-b56e-638f83e28c98,urząd pocztowy
http://purl.org/urbanonto/object_type_ee761b98-ba78-434f-8cd7-2b2a97a325e0,warsztat
http://purl.org/urbanonto/object_type_10cfedcb-03fa-4a62-adee-bb39ff3ead43,wartownia
http://purl.org/urbanonto/object_type_8a7aec41-061d-4dbe-96d4-ba85a0d0c4e4,wał przeciwpowodziowy lub grobla
http://purl.org/urbanonto/object_type_07078b2a-5f06-4a53-af73-ce15ca4c2ddb,wiadukt
http://purl.org/urbanonto/object_type_ab4e294f-7a2d-43be-8310-d3eca632042a,wiata
http://purl.org/urbanonto/object_type_941cfb75-1e17-47dc-8770-b83d7b6d93d6,wieża ciśnień
http://purl.org/urbanonto/object_type_1c6cc03a-8ae3-4e42-95d1-adfcb0c702b5,woda płynąca
http://purl.org/urbanonto/object_type_606bc22a-6984-4aff-b96c-c20f19408004,zabudowania koszarowe
http://purl.org/urbanonto/object_type_ef771798-bbf8-4085-b150-70c3be4d3bfb,zabytek nieużytkowy
http://purl.org/urbanonto/object_type_99f0f5af-ae0e-4b88-a3c9-6f51d1106dc4,zajezdnia autobusowa
http://purl.org/urbanonto/object_type_d91808d7-cbc7-4575-848c-15a876b9fc95,zajezdnia tramwajowa
http://purl.org/urbanonto/object_type_e6f87ce4-9177-4f06-bb36-a74f90982ad7,zajezdnia trolejbusowa
http://purl.org/urbanonto/object_type_afb82a6a-5a23-42a7-a32c-5a0fc425daa9,zakład karny
http://purl.org/urbanonto/object_type_2130ef99-e232-48f5-bc0c-4b9ab7a6590d,zakład poprawczy
http://purl.org/urbanonto/object_type_ba7c2dc2-0855-4c45-819d-3da8922ca7ca,zapora
http://purl.org/urbanonto/object_type_88ddadf7-708d-4ce2-87a2-7692fb4401f0,założenie pałacowe
http://purl.org/urbanonto/object_type_bdbb9fe6-963f-4b98-9e94-73be11c8bfdd,zbiornik zaporowy
http://purl.org/urbanonto/object_type_b5f8193a-7aa4-450b-bdaf-6a28b8c99b6c,zespół pałacowy
http://purl.org/urbanonto/object_type_1f7aca78-5242-408b-add8-7d5438a1fefc,zespół sakralny lub klasztorny
http://purl.org/urbanonto/object_type_d0a27d3e-2799-4636-8124-fb376f29b7a7,zespół szpitalny
http://purl.org/urbanonto/object_type_9d678687-6418-46af-9851-e69437bad487,zespół zamkowy
http://purl.org/urbanonto/object_type_7bd3ee64-e701-48f8-ab7e-f5788cf0163c,śluza
http://purl.org/urbanonto/object_type_838abf8a-3981-4eab-86f3-42ac9b5600b2,żłobek
https://purl.org/bdot10k#object_24,alejka
https://purl.org/bdot10k#object_14,autostrada
https://purl.org/bdot10k#object_138,basen odkryty
https://purl.org/bdot10k#object_139,basen z czaszą foliową
https://purl.org/bdot10k#object_38,benzynowy
https://purl.org/bdot10k#object_140,bieżnia
https://purl.org/bdot10k#object_112,budynki biurowe
https://purl.org/bdot10k#object_115,budynki garaży
https://purl.org/bdot10k#object_123,budynki gospodarstw rolnych
https://purl.org/bdot10k#object_113,budynki handlowo-usługowe
https://purl.org/bdot10k#object_110,budynki hoteli
https://purl.org/bdot10k#object_122,budynki kultury fizycznej
https://purl.org/bdot10k#object_106,budynki mieszkalne jednorodzinne
https://purl.org/bdot10k#object_119,budynki muzeów i bibliotek
https://purl.org/bdot10k#object_107,budynki o dwóch mieszkaniach
