topographic_object_identifier,start_at_input,end_at_input,start_at,end_at,location_identifier,historical_evidence,location_link_type
116.0,1906.0,1950.0,1906.0,1950.0,96.0,47.0,przybliżona
117.0,1916.0,2000.0,1916.0,2000.0,97.0,47.0,dokładnie
118.0,1870.0,1944.0,1870.0,1944.0,98.0,49.0,przybliżona
119.0,1784.0,1944.0,1784.0,1944.0,99.0,50.0,przybliżona
120.0,1818.0,1942.0,1818.0,1942.0,100.0,52.0,przybliżona
121.0,1683.0,1775.0,1683.0,1775.0,101.0,1000.0,dokładnie
122.0,1775.0,2000.0,1775.0,2000.0,101.0,1000.0,dokładnie
123.0,1846.0,1919.0,1846.0,1919.0,102.0,1000.0,dokładnie
124.0,1919.0,1947.0,1919.0,1947.0,102.0,1000.0,dokładnie
125.0,1854.0,1935.0,1854.0,1935.0,103.0,1000.0,dokładnie
126.0,1834.0,2000.0,1834.0,2000.0,104.0,1000.0,dokładnie
127.0,1833.0,1939.0,1833.0,1939.0,105.0,1000.0,dokładnie
128.0,1870.0,1939.0,1870.0,1939.0,106.0,1000.0,dokładnie
129.0,1695.0,1825.0,1695.0,1825.0,107.0,1000.0,dokładnie
130.0,1819.0,1825.0,1819.0,1825.0,108.0,1000.0,dokładnie
131.0,1909.0,1939.0,1909.0,1939.0,109.0,1000.0,dokładnie
132.0,,1785.0,,1785.0,108.0,1000.0,dokładnie
134.0,,1791.0,,1791.0,110.0,1000.0,przybliżona
133.0,1785.0,1808.0,1785.0,1808.0,108.0,1000.0,dokładnie
135.0,1808.0,1825.0,1808.0,1825.0,111.0,1000.0,dokładnie
137.0,1825.0,2000.0,1825.0,2000.0,114.0,1000.0,dokładnie
133.0,1816.0,1864.0,1816.0,1864.0,115.0,1000.0,przybliżona
133.0,1864.0,1939.0,1864.0,1939.0,116.0,1000.0,przybliżona
138.0,1785.0,1939.0,1785.0,1939.0,117.0,1000.0,dokładnie
139.0,1807.0,1892.0,1807.0,1892.0,93.0,1000.0,dokładnie
140.0,1615.0,1791.0,1615.0,1791.0,124.0,1000.0,dokładnie
141.0,1648.0,1749.0,1648.0,1749.0,125.0,1000.0,przybliżona
141.0,1749.0,1791.0,1749.0,1791.0,126.0,1000.0,przybliżona
142.0,1749.0,1791.0,1749.0,1791.0,127.0,1000.0,przybliżona
143.0,1648.0,1791.0,1648.0,1791.0,128.0,1000.0,dokładnie
144.0,1780.0,2000.0,1780.0,2000.0,129.0,1000.0,dokładnie
145.0,1787.0,2000.0,1787.0,2000.0,130.0,1000.0,dokładnie
146.0,1878.0,1943.0,1878.0,1943.0,131.0,1000.0,dokładnie
147.0,1749.0,1943.0,1749.0,1943.0,132.0,1000.0,dokładnie
148.0,1936.0,1943.0,1936.0,1943.0,133.0,1000.0,dokładnie
149.0,1732.0,1898.0,1732.0,1898.0,134.0,1000.0,dokładnie
149.0,1898.0,1944.0,1898.0,1944.0,135.0,1000.0,dokładnie
150.0,1730.0,1944.0,1730.0,1944.0,136.0,1000.0,dokładnie
151.0,1727.0,1935.0,1727.0,1935.0,137.0,1000.0,dokładnie
151.0,1935.0,1939.0,1935.0,1939.0,138.0,1000.0,dokładnie
152.0,1748.0,1772.0,1748.0,1772.0,139.0,1000.0,dokładnie
153.0,1700.0,2000.0,1700.0,2000.0,140.0,1000.0,dokładnie
154.0,1735.0,1821.0,1735.0,1821.0,141.0,1000.0,dokładnie
155.0,1892.0,1939.0,1892.0,1939.0,143.0,38.0,przybliżona
156.0,1892.0,1939.0,1892.0,1939.0,144.0,38.0,przybliżona
157.0,1819.0,1939.0,1819.0,1939.0,145.0,1000.0,dokładnie
158.0,1695.0,1765.0,1695.0,1765.0,146.0,1000.0,dokładnie
159.0,1765.0,1795.0,1765.0,1795.0,147.0,1000.0,dokładnie
160.0,1795.0,1863.0,1795.0,1863.0,148.0,1000.0,dokładnie
161.0,1863.0,1917.0,1863.0,1917.0,149.0,1000.0,dokładnie
162.0,1917.0,1939.0,1917.0,1939.0,150.0,1000.0,dokładnie
163.0,1838.0,1875.0,1838.0,1875.0,151.0,1000.0,dokładnie
164.0,1875.0,1881.0,1875.0,1881.0,152.0,1000.0,dokładnie
165.0,1918.0,1939.0,1918.0,1939.0,153.0,1000.0,dokładnie
166.0,1695.0,2000.0,1695.0,2000.0,154.0,1000.0,dokładnie
167.0,1765.0,2000.0,1765.0,2000.0,155.0,1000.0,dokładnie
168.0,1695.0,1765.0,1695.0,1765.0,156.0,1000.0,dokładnie
169.0,1786.0,1831.0,1786.0,1831.0,157.0,1000.0,dokładnie
170.0,1831.0,1889.0,1831.0,1889.0,158.0,1000.0,dokładnie
171.0,1889.0,1918.0,1889.0,1918.0,159.0,1000.0,dokładnie
172.0,1918.0,1939.0,1918.0,1939.0,160.0,1000.0,dokładnie
173.0,1881.0,1939.0,1881.0,1939.0,161.0,1000.0,dokładnie
174.0,1642.0,1656.0,1642.0,1656.0,162.0,1000.0,przybliżona
175.0,1701.0,1834.0,1701.0,1834.0,163.0,1000.0,dokładnie
176.0,1834.0,1916.0,1834.0,1916.0,164.0,1000.0,dokładnie
177.0,1916.0,1933.0,1916.0,1933.0,165.0,1000.0,dokładnie
178.0,1933.0,2000.0,1933.0,2000.0,166.0,1000.0,dokładnie
179.0,1772.0,1778.0,1772.0,1778.0,167.0,1000.0,dokładnie
180.0,1778.0,1791.0,1778.0,1791.0,168.0,1000.0,dokładnie
181.0,1778.0,1791.0,1778.0,1791.0,169.0,1000.0,obok
182.0,1791.0,1833.0,1791.0,1833.0,170.0,1000.0,dokładnie
183.0,1833.0,1884.0,1833.0,1884.0,171.0,1000.0,dokładnie
184.0,1884.0,1939.0,1884.0,1939.0,172.0,1000.0,dokładnie
185.0,1762.0,1819.0,1762.0,1819.0,173.0,1000.0,dokładnie
186.0,1819.0,1829.0,1819.0,1829.0,174.0,1000.0,dokładnie
187.0,1829.0,1884.0,1829.0,1884.0,175.0,1000.0,dokładnie
188.0,1884.0,1945.0,1884.0,1945.0,176.0,1000.0,dokładnie
189.0,1695.0,1918.0,1695.0,1918.0,177.0,1000.0,dokładnie
190.0,1918.0,1939.0,1918.0,1939.0,178.0,1000.0,dokładnie
191.0,1936.0,1942.0,1936.0,1942.0,179.0,1000.0,dokładnie
192.0,1680.0,1808.0,1680.0,1808.0,180.0,1000.0,dokładnie
193.0,1769.0,1808.0,1769.0,1808.0,181.0,1000.0,dokładnie
194.0,1808.0,1919.0,1808.0,1919.0,182.0,1000.0,dokładnie
195.0,1919.0,1927.0,1919.0,1927.0,183.0,1000.0,dokładnie
196.0,1927.0,1939.0,1927.0,1939.0,184.0,1000.0,dokładnie
197.0,1776.0,1808.0,1776.0,1808.0,185.0,1000.0,dokładnie
198.0,1808.0,1944.0,1808.0,1944.0,186.0,1000.0,dokładnie
199.0,1724.0,1804.0,1724.0,1804.0,187.0,1000.0,dokładnie
199.0,1804.0,1817.0,1804.0,1817.0,188.0,1000.0,dokładnie
200.0,1855.0,2000.0,1855.0,2000.0,189.0,1000.0,dokładnie
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
